0.41 5.57
2.12 0.16
2.34 2.93
2.44 3.78
2.44 7.45
4.30 1.61
7.99 5.26
0.56 7.17
6.16 2.38
5.39 4.47
2.44 1.27
9.23 1.86
6.46 4.60
6.75 0.33
2.68 6.88
4.02 3.08
2.45 6.15
3.25 4.79
9.08 5.69
8.56 1.51
3.14 2.86
3.12 1.13
8.12 3.68
8.30 4.29
6.06 3.69
8.75 8.51
4.96 7.99
0.36 1.42
2.59 7.12
1.75 5.27
3.99 5.77
8.35 6.44
1.92 1.60
1.23 1.00
7.28 9.80
2.51 0.42
2.66 5.63
1.55 0.78
9.32 9.85
5.07 5.38
3.54 3.83
3.89 8.49
1.82 4.25
9.91 4.41
1.37 1.66
9.68 5.36
7.44 8.03
1.80 9.36
9.63 3.04
0.36 6.91
2.83 2.87
7.34 5.49
8.50 8.89
6.28 7.82
8.74 1.35
3.20 2.27
5.18 7.08
0.77 6.99
1.33 0.68
1.40 2.70
2.34 1.08
8.06 9.78
9.10 9.86
9.14 8.73
2.90 9.49
5.64 5.73
2.36 2.98
1.22 0.86
1.86 7.50
8.68 0.60
8.85 1.88
2.87 4.03
8.96 3.64
1.02 0.29
4.32 2.42
2.99 6.66
3.49 1.05
6.44 2.59
0.91 5.57
1.33 3.81
5.07 6.97
9.54 7.43
9.95 0.77
8.29 1.81
8.27 6.97
2.41 7.12
8.85 5.28
1.14 7.80
8.92 2.16
8.10 3.23
4.58 1.09
9.89 8.07
2.13 6.33
0.66 3.04
1.90 1.99
6.86 6.97
8.96 6.40
4.39 8.90
7.17 2.68
0.71 5.43

0.00 3.89
0.10 3.90
0.20 3.92
0.30 3.93
0.40 3.94
0.50 3.96
0.60 3.97
0.70 3.99
0.80 4.00
0.90 4.02
1.00 4.03
1.10 4.05
1.20 4.06
1.30 4.08
1.40 4.09
1.50 4.11
1.60 4.12
1.70 4.14
1.80 4.15
1.90 4.17
2.00 4.18
2.10 4.19
2.20 4.21
2.30 4.22
2.40 4.24
2.50 4.25
2.60 4.27
2.70 4.28
2.80 4.30
2.90 4.31
3.00 4.33
3.10 4.34
3.20 4.36
3.30 4.37
3.40 4.39
3.50 4.40
3.60 4.42
3.70 4.43
3.80 4.45
3.90 4.46
4.00 4.47
4.10 4.49
4.20 4.50
4.30 4.52
4.40 4.53
4.50 4.55
4.60 4.56
4.70 4.58
4.80 4.59
4.90 4.61
5.00 4.62
5.10 4.64
5.20 4.65
5.30 4.67
5.40 4.68
5.50 4.70
5.60 4.71
5.70 4.73
5.80 4.74
5.90 4.75
6.00 4.77
6.10 4.78
6.20 4.80
6.30 4.81
6.40 4.83
6.50 4.84
6.60 4.86
6.70 4.87
6.80 4.89
6.90 4.90
7.00 4.92
7.10 4.93
7.20 4.95
7.30 4.96
7.40 4.98
7.50 4.99
7.60 5.00
7.70 5.02
7.80 5.03
7.90 5.05
8.00 5.06
8.10 5.08
8.20 5.09
8.30 5.11
8.40 5.12
8.50 5.14
8.60 5.15
8.70 5.17
8.80 5.18
8.90 5.20
9.00 5.21
9.10 5.23
9.20 5.24
9.30 5.26
9.40 5.27
9.50 5.28
9.60 5.30
9.70 5.31
9.80 5.33
9.90 5.34
10.00 5.36
