1.65 5.91
0.78 2.48
4.40 7.90
5.84 4.74
2.06 6.27
1.54 2.89
3.91 9.92
5.72 6.78
1.37 2.45
9.01 9.73
3.43 1.04
6.06 6.29
3.73 0.46
5.24 7.02
0.54 4.28
3.16 2.19
0.19 3.94
4.67 4.59
1.84 0.51
9.33 3.90
6.78 0.87
6.79 0.69
0.79 2.51
7.46 2.16
4.96 6.47
1.88 8.39
7.51 7.95
4.68 1.25
8.41 9.93
8.27 8.95
4.21 1.43
1.14 4.40
5.36 5.81
8.99 7.21
6.32 8.32
1.11 3.10
9.19 7.90
3.79 9.97
0.41 1.26
2.13 5.37
7.73 4.01
3.76 5.24
1.96 8.44
6.49 0.37
8.37 4.76
9.32 2.57
6.18 0.46
6.97 1.55
6.27 5.96
8.75 2.59
4.28 9.86
5.70 3.46
7.76 9.49
3.44 8.18
0.75 5.57
3.54 8.47
9.58 7.30
3.71 1.54
5.74 0.20
1.91 4.11
4.96 1.23
6.68 1.14
1.69 3.65
2.69 7.96
9.61 1.44
0.56 3.89
1.30 6.25
7.35 9.07
5.74 0.78
7.24 6.49
6.35 0.79
4.96 5.93
8.09 8.68
7.47 3.83
8.88 9.38
7.94 3.84
0.61 4.62
4.98 2.30
8.27 7.67
0.27 7.88
9.11 0.82
1.76 0.41
7.07 9.11
9.48 2.82
9.89 6.72
9.30 6.24
7.51 4.26
2.17 5.60
2.94 9.64
9.43 1.82
9.02 7.37
5.65 9.63
1.98 0.63
1.93 0.25
8.30 2.20
8.13 7.41
3.02 9.89
7.82 0.10
9.00 7.30
2.91 8.90

0.00 4.34
0.10 4.35
0.20 4.36
0.30 4.37
0.40 4.38
0.50 4.39
0.60 4.40
0.70 4.41
0.80 4.42
0.90 4.43
1.00 4.44
1.10 4.46
1.20 4.47
1.30 4.48
1.40 4.49
1.50 4.50
1.60 4.51
1.70 4.52
1.80 4.53
1.90 4.54
2.00 4.55
2.10 4.56
2.20 4.57
2.30 4.58
2.40 4.59
2.50 4.61
2.60 4.62
2.70 4.63
2.80 4.64
2.90 4.65
3.00 4.66
3.10 4.67
3.20 4.68
3.30 4.69
3.40 4.70
3.50 4.71
3.60 4.72
3.70 4.73
3.80 4.74
3.90 4.76
4.00 4.77
4.10 4.78
4.20 4.79
4.30 4.80
4.40 4.81
4.50 4.82
4.60 4.83
4.70 4.84
4.80 4.85
4.90 4.86
5.00 4.87
5.10 4.88
5.20 4.89
5.30 4.90
5.40 4.92
5.50 4.93
5.60 4.94
5.70 4.95
5.80 4.96
5.90 4.97
6.00 4.98
6.10 4.99
6.20 5.00
6.30 5.01
6.40 5.02
6.50 5.03
6.60 5.04
6.70 5.05
6.80 5.07
6.90 5.08
7.00 5.09
7.10 5.10
7.20 5.11
7.30 5.12
7.40 5.13
7.50 5.14
7.60 5.15
7.70 5.16
7.80 5.17
7.90 5.18
8.00 5.19
8.10 5.20
8.20 5.22
8.30 5.23
8.40 5.24
8.50 5.25
8.60 5.26
8.70 5.27
8.80 5.28
8.90 5.29
9.00 5.30
9.10 5.31
9.20 5.32
9.30 5.33
9.40 5.34
9.50 5.35
9.60 5.37
9.70 5.38
9.80 5.39
9.90 5.40
10.00 5.41
